"","userID","gamesPlayed"
"3","170163647",34
"1","3979696",26
"21","1789203881",26
"5","389420466",19
"23","1866292861",16
"2","39005574",14
"7","421807041",14
"8","501579085",14
"20","1716193541",12
"24","1973313719",10
"10","581988310",8
"12","863895500",8
"9","524486466",6
"17","1580926378",6
"15","1456853757",4
"25","1991543019",4
"13","1076273199",3
"14","1386007799",2
"18","1674746495",2
"27","2146891540",2
"4","245119190",1
"6","405207546",1
"11","630960808",1
"16","1457168486",1
"19","1684640886",1
"22","1849339245",1
"26","2056541335",1
